Species	OddsRatio	ConfInt_Lower	ConfInt_Upper	P_Value
C57B6J	0.977860091847928	0.976112354677824	0.979580910503224	6.50593539230528e-135
bosTau8	1.00610471920252	1.00445621026844	1.00775137879042	2.0928181832133e-13
panTro4	3.45499877046061	3.44392893154656	3.46572019165842	0
gorGor3	2.11582904138923	2.11071813928454	2.12095014003541	0
ponAbe2	1.87593221150747	1.87176927831061	1.88044692481995	0
rheMac3	1.49106829161801	1.48808010979819	1.49415248977044	0
Rattus	0.97910221559124	0.977399902343767	0.980843974842365	6.49533052037689e-121
micOch1	0.97956670649767	0.977876856091425	0.98128665858768	8.1078641774338e-117
jacJac1	0.985556309805174	0.983836555793697	0.987256863604378	1.59056827651328e-60
oryCun2	0.986958226538377	0.985350649425976	0.988614001522964	2.08699752174504e-54
oviBos	1.00727300647024	1.00565879175685	1.00892386637621	1.97004140941722e-18
oviAri3	1.00584326656703	1.00419794849738	1.00748976153288	2.12216918027218e-12
canFam3	1.02096752986553	1.01933399862345	1.02257949948272	1.5650692976168e-140
felCat8	1.02422506116787	1.02257737030684	1.02587525867197	6.33299212370597e-187
loxAfr3	0.995171004617486	0.993556462172535	0.99682405067978	7.27801517359378e-09
