Genome, % ID, numID, numSites
hg19, 1, 2579693521, 2579693521
Anc11, 0.993377, 2516118357, 2532892826
panTro4, 0.986675, 2397393782, 2429769881
Anc10, 0.989112, 2432698674, 2459476682
gorGor3, 0.983108, 2255593104, 2294349664
Anc08, 0.979306, 2361674338, 2411578880
ponAbe2, 0.966468, 2089075397, 2161555961
primates, 0.963085, 2185934579, 2269721000
rheMac3, 0.937234, 2051830909, 2189240300
stitch4, 0.894154, 1383323781, 1547075974
stitch3, 0.846553, 1144251580, 1351659662
stitch7, 0.883192, 1341110802, 1518481158
stitch6, 0.872595, 1314024173, 1505880376
oviBos, 0.755378, 947541909, 1254394454
stitch5, 0.820976, 1175468076, 1431793942
oviAri3, 0.742136, 902373512, 1215913417
bosTau8, 0.745101, 910313110, 1221731411
canFam3, 0.749091, 985183325, 1315172140
felCat8, 0.754773, 974526103, 1291151238
stitch2, 0.805882, 917638201, 1138674962
oryCun2, 0.732951, 804959617, 1098244537
stitch1, 0.731745, 703450864, 961333582
jacJac1, 0.695361, 631315656, 907895945
msca_root, 0.684405, 626560537, 915482478
micOch1, 0.667918, 580562701, 869212852
Anc12, 0.672745, 595326619, 884921325
Rattus, 0.658108, 543345984, 825618616
Anc13, 0.66687, 579817667, 869461281
Pahari_EiJ, 0.65987, 558508317, 846391545
Anc14, 0.663231, 570256574, 859815937
CAROLI_EiJ, 0.660478, 558190842, 845132081
SPRET_EiJ, 0.660223, 559030542, 846730512
splitPoint, 0.661268, 564972176, 854377221
PWK_PhJ, 0.660448, 559589489, 847287618
Anc16, 0.660984, 563784790, 852947447
CAST_EiJ, 0.660533, 557999570, 844771794
Anc17, 0.660633, 561945159, 850616183
WSB_EiJ, 0.660527, 558106125, 844940347
Anc18, 0.660495, 561435815, 850023255
Anc19, 0.660483, 561163475, 849625938
Anc20, 0.660468, 560910984, 849262906
Anc21, 0.660485, 561000954, 849377215
Anc22, 0.660485, 560839317, 849132503
NZO_HlLtJ, 0.660501, 558180124, 845086025
Anc23, 0.660463, 560068345, 847993260
C57BL_6NJ, 0.660525, 558170736, 845040974
C57B6J, 0.660459, 558820019, 846108871
Anc24, 0.660495, 560417420, 848481026
Anc25, 0.660482, 560673251, 848885499
NOD_ShiLtJ, 0.660716, 549759335, 832066060
FVB_NJ, 0.660531, 557389378, 843850298
Anc26, 0.660483, 560318424, 848347039
Anc27, 0.660478, 560242574, 848237506
Anc28, 0.660494, 559871136, 847654683
AKR_J, 0.660497, 557843934, 844581644
DBA_2J, 0.660553, 557511770, 844008054
Anc29, 0.660503, 559558226, 847169471
CBA_J, 0.660549, 557407215, 843854113
C3H_HeJ, 0.660531, 558063236, 844870821
BALB_cJ, 0.660508, 558454624, 845493135
A_J, 0.660491, 558329379, 845325118
LP_J, 0.660529, 557984084, 844752966
129S1_SvImJ, 0.660508, 558154990, 845038682
loxAfr3, 0.750829, 868513049, 1156739464
stitch8, 0.818647, 957700663, 1169858383
